Company,"Job Title",Location,"Job Type",Experience,"Skill 1","Skill 2","Skill 3","Skill 4","Skill 5","Skill 6","Perk 1","Perk 2","Perk 3"
Vitol,"Data Science Intern","London, United Kingdom","Full Time",Entry-level,APIs,Architecture,"Data analysis","Power BI",Python,SQL,,,
Voodoo,"Junior Data Analyst (end-of-studies internship)",Paris,Internship,Entry-level,Consulting,Engineering,Excel,"Machine Learning",Mathematics,SQL,"Career development","Competitive pay","Lunch / meals"
Wavestone,"Consultant.e.s â€“ Stage/Alternance -  IT & Data Architecture","Nantes, France","Full Time",Entry-level,APIs,Architecture,AWS,Azure,"Big Data",DevOps,,,
Wavestone,"Business Intelligence & Data Visualization","Paris, France","Full Time",Entry-level,Agile,"Business Intelligence","Data visualization","Machine Learning",Research,UX,,,
"Western Digital","Phd -Interns, Data Scientist","Bengaluru, India","Full Time",Entry-level,Agile,Architecture,Classification,"Data Mining","Data pipelines","Deep Learning",,,
"Western Digital","Intern, Data Engineering - Digital Innovation (Summer 2023)","Milpitas, CA, United States","Full Time",Entry-level,"Computer Science","Data analysis","Data pipelines","Data quality",EDA,Engineering,"Medical leave",,
"Western Digital","Intern, Data Engineering (Summer 2023)","San Jose, CA, United States",Internship,Entry-level,AWS,"Big Data","Computer Science","Data analysis","Data Analytics","Data pipelines","Career development","Competitive pay",Equity
"Wisk Aero","Autonomy Engineering Summer Intern","Mountain View, CA",Internship,Entry-level,C++,"Computer Science","Computer Vision",Engineering,Genetics,Matlab,"401(k) matching","Career development","Competitive pay"
"Zeta Global","Data Science & Analytics Intern","New York City, NY",Internship,Entry-level,"Business Intelligence","Data pipelines",ETL,"Machine Learning",MySQL,Pipelines,"Lunch / meals","Team events",
Zscaler,"Data Science Intern- Undergrad (Summer 2023)","San Jose, CA, United States",Internship,Entry-level,Agile,Architecture,"Data analysis","Data Analytics","Data strategy","Data visualization","Competitive pay",Equity,"Health care"
Zuora,"Data Science Intern","Redwood City, California, United States",Internship,Entry-level,Avro,AWS,"Computer Science",CSV,DynamoDB,Finance,"Career development","Competitive pay","Health care"
